latC,lonC,ts
69.5,-168.25,2.1227285475830754e-06
69.5,-167.75,2.351838868369974e-06
69.5,-167.25,2.1106756938211067e-06
69.5,-166.75,2.2171427186488443e-06
69.5,-166.25,3.087888822490089e-06
69.5,-165.75,2.5718705294200644e-06
69.5,-164.75,1.0927168322551365e-06
70.0,-168.25,1.8836139195418525e-06
70.0,-167.75,1.8077576147527991e-06
70.0,-167.25,1.8895154987791907e-06
70.0,-166.75,1.969802521875379e-06
70.0,-166.25,2.2858080119823974e-06
70.0,-165.75,2.648212248492411e-06
70.0,-165.25,2.571878731064096e-06
70.0,-164.25,1.6547073202156445e-06
70.5,-168.25,1.8881678036486705e-06
70.5,-167.75,1.4495114637274372e-06
70.5,-167.25,1.8515224402474688e-06
70.5,-166.75,2.0553686055102223e-06
70.5,-166.25,2.1331336141939287e-06
70.5,-165.75,1.409024333718066e-06
70.5,-165.25,1.8111436037107748e-06
70.5,-164.75,1.9129022631914788e-06
70.5,-164.25,1.7700172255081119e-06
70.5,-163.75,1.5645565941769953e-06
70.5,-163.25,2.031429186297839e-06
70.5,-162.75,1.993251162876518e-06
71.0,-168.25,1.8550289261065332e-06
71.0,-167.75,2.564307982603717e-06
71.0,-167.25,1.434959856283695e-06
71.0,-166.75,1.7085286309711994e-06
71.0,-166.25,2.181753811422876e-06
71.0,-165.75,2.3750474045618862e-06
71.0,-165.25,2.2393360040012266e-06
71.0,-164.75,2.2499990854143664e-06
71.0,-164.25,1.8263483494530143e-06
71.0,-163.75,1.3960201398824293e-06
71.0,-163.25,1.4765922526215642e-06
71.0,-162.75,1.451858827291958e-06
71.0,-162.25,2.144580222416507e-06
